id;logradouro;cep;cidade;estado;pessoa_fisica_id
1;customized Movies Strategist;Forward Uruguay;Fish e-markets;back-end Forward;1
2;Electronics;Estate Integration;magenta bandwidth-monitored;Buckinghamshire Georgia;2
3;Rustic quantifying;motivating Belize cross-platform;repurpose circuit;Bacon ivory Rubber;3
4;Belize Boliviano Michigan;Intelligent wireless purple;Quetzal red;motivating Vatu copy;4
5;Money backing Small;interactive Streets Centralized;Facilitator;Account;5
6;Agent RSS Buckinghamshire;mobile discrete transform;Skyway Lock pink;disintermediate;6
7;Path proactive;Creative Buckinghamshire Gardens;Rustic Savings Mali;Wooden;7
8;Secured Avon orange;Ohio;monitoring;program;8
9;Configurable Fresh;Technician scale bypassing;Hat JSON;Fresh Account;9
10;Internal;Mobility Baby;Versatile interface SSL;Licensed Profound;10
